id_escola;Nome;Cluster;Status da Escola;Adimplência Contratual;Adimplência Financeira;Vendas SLM 2025;Direito a voucher;;Habilitação Voucher;Qtd. Vouchers;Código do voucher;Voucher enviado ;Observação
82;Maple Bear Bauru - Vila Aviação I;Desenvolvimento;Ativa;Sim;Sim;336;Sim;;5%;17;MBSP2026204;SIM;
821;Maple Bear São Paulo - Pacaembu I e  II;Desenvolvimento;Ativa;Sim;Sim;150;Sim;;5%;8;MBSP2026230;SIM;
824;Maple Bear Manaus - Flores I;Alerta;Ativa;Sim;ROY/FDMP;108;Sim;;5%;5;MBAM2026215;SIM;Ana 01/08: De acordo com a planilha que a Cyndi enviou, há um acordo firmado para essa escola. 
83;Maple Bear Botucatu - Vila Nogueira I;Desenvolvimento;Ativa;Sim;Sim;136;Sim;;5%;7;MBSP2026229;SIM;
830;Maple Bear Goiânia - Marista II;Alta Performance;Ativa;Sim;Sim;345;Sim;;5%;17;MBGO2026103;SIM;Total 87 vouchers codigo unico MBGO2026103 unidades I, I e III marista e plateau d'or
833;Maple Bear Goiânia - Marista III;Alta Performance;Ativa;Sim;Sim;339;Sim;;5%;17;MBGO2026103;SIM;Total 87 vouchers codigo unico MBGO2026103 unidades I, I e III marista e plateau d'or
842;Maple Bear Campo Grande - Chácara Cachoeira II;Potente;Ativa;Sim;Sim;248;Sim;;5%;12;MBMS2026139;SIM;
845;Maple Bear São Vicente;Implantação;Ativa;Sim;Sim;5;Não ;;5%;1;MBSP2026400;NÃO;Ana 01/08: Essa escola ainda não possui alunos. Os SLM's comprados são de implantação, portanto os vouchers de amostra já foram disponibilizados. concedido 1 de 100% ticket #259409
848;Maple Bear Goiás - Mineiros;Implantação;Ativa;Sim;Sim;5;Não ;;5%;0;;NÃO;Ana 01/08: Essa escola ainda não possui alunos. Os SLM's comprados são de implantação, portanto os vouchers de amostra já foram disponibilizados.
856;Maple Bear Itumbiara;Implantação;Ativa;Sim;Sim;6;Não ;;5%;0;;NÃO;Ana 01/08: Essa escola ainda não possui alunos. Os SLM's comprados são de implantação, portanto os vouchers de amostra já foram disponibilizados.
860;Maple Bear Valinhos - Joapiranga II;Potente;Ativa;Sim;FDMP;376;Sim;;5%;19;MBSP2026118;SIM;"26 vouchers unidades I e II MBSP2026118
Ana 25/08: Cyndi me confirmou nessa data via Teams que a escola não possui mais pendências financeiras. Enviei os vouchers nesta data. "
861;Maple Bear Mogiana - Mogi Mirim - Mogi Guaçu;Desenvolvimento;Ativa;Sim;ROY;266;Sim;;5%;13;MBSP2026166;SIM;Ana 05/08: Voucher enviado de acordo com o retorno da Cyndi no e-mail Atualizar Status financeiro onde ela nos passou atualizações sobre negociação e/ou quitação de pendências das unidades. 
862;Maple Bear Itu;Desenvolvimento;Ativa;Sim;ROY/FDMP;49;Não ;;5%;2;MBSP2026312;;e-mail enviado dia 04/08
863;Maple Bear Campina Grande - Mirante I;Desenvolvimento;Ativa;Sim;Sim;171;Sim;;5%;9;MBPB2026168;SIM;Ana 24/07: Cyndi formalizou internamente que a escola não possui débitos antes do repasse. Há valores de julho em aberto, mas o novo owner já está negociando pagamento. Dessa forma, ajustei para ''sim'' o diereito aos vouchers
864;Maple Bear Vila Velha - Praia Da Costa;Desenvolvimento;Ativa;Não;Sim;420;Sim;;5%;21;MBES2026142;SIM;Ana 01/08: Cyndi confirmou via Teams (grupo financeiro) que paras as escolas próproas não há cobrança e que são insentas de cobrança
867;Maple Bear Curitiba - Batel;Desenvolvimento;Ativa;Sim;Sim;163;Sim;;5%;8;MBPR2026254;SIM;
868;Maple Bear Rio das Ostras - Alphaville;Desenvolvimento;Ativa;Sim;Sim;79;Sim;;5%;4;MBRJ2026304;SIM;
87;Maple Bear Franca - Residencial Paraíso I;Alta Performance;Ativa;Sim;Sim;216;Sim;;5%;11;MBSP2026176;SIM;
871;Maple Bear Catanduva - Centro I E II;Potente;Ativa;Sim;Sim;267;Sim;;5%;13;MBSP2026183;SIM;
873;Maple Bear Rio de Janeiro - Campo Grande - Itaguaí;Implantação;Ativa;Sim;Sim;32;Sim;;5%;2;MBRJ2026306;SIM;
874;Maple Bear São Paulo - Parque dos Príncipes;Potente;Ativa;Não;ROY/FDMP;82;Sim;;5%;4;MBSP2026311;SIM;Ana 14/08: Cyndi nos avisou que fez algumas confirmações com o Ramires e que não há pendências financeiras por parte da escola (conversa feita pessoalmente nesta data). Ainda na mesma conversa, Ramires nos explicou que há uma atualização contratual devido a mudança no quadro societário da empresa, mas que está fluindo e nos autorizou a mandar os vouchers.)
875;Maple Bear Marabá - Belo Horizonte;Implantação;Ativa;Sim;FDMP;14;Não ;;5%;1;MBPA2026110;;e-mail enviado dia 04/08
88;Maple Bear Guaratinguetá - Alberto Byington I;Alerta;Ativa;Sim;Sim;66;Sim;;5%;3;MBSP2025668;SIM;
89;Maple Bear Guarujá - Enseada I;Desenvolvimento;Ativa;Sim;Sim;190;Sim;;5%;10;MBSP2026201;SIM;
9;Maple Bear Manaus - Ponta Negra II;Alerta;Ativa;Sim;ROY/FDMP;57;Sim;;5%;3;MBAM2026216;SIM;Ana 01/08: De acordo com a planilha que a Cyndi enviou, há um acordo firmado para essa escola. 
90;Maple Bear Guarulhos - Centro;Desenvolvimento;Ativa;Sim;Sim;199;Sim;;5%;10;MBSP2026184;SIM;
91;Maple Bear Indaiatuba - Jardim Esplanada I;Alta Performance;Ativa;Sim;Sim;426;Sim;;5%;21;MBSP2026123;SIM;
92;Maple Bear Itatiba - Residencial Fazenda Rosa I;Desenvolvimento;Ativa;Sim;Sim;84;Sim;;5%;4;MBSP2026255;SIM;
94;Maple Bear Jundiaí - Jardim Santa Teresa;Desenvolvimento;Ativa;Sim;FDMP;436;Não ;;5%;22;MBSP2026310;;"e-mail enviado dia 04/08
Ana 10/02: Conforme e-mail da Cyndi: Celebração de acordo financeiro - FDMP MB JUNDIAÍ liberamos os vouchers dessa escola "
97;Maple Bear Marília - Parque Das Esmeraldas;Desenvolvimento;Ativa;Sim;ROY/FDMP;329;Sim;;5%;16;MBSP2026134;SIM;Ana 05/08: Voucher enviado de acordo com o retorno da Cyndi no e-mail Atualizar Status financeiro onde ela nos passou atualizações sobre negociação e/ou quitação de pendências das unidades. 
98;Maple Bear Mogi Das Cruzes - Vila Oliveira I;Alta Performance;Ativa;Sim;ROY/FDMP;353;Sim;;5%;18;MBSP2026129;SIM;"Vinicius (time financeiro) me informou que não cobraremos as dívidas dessa escola. Portanto, conceder os vouchers
Ana 01/08: Ao mandar email do voucher, não coloquei nenhuma obs no que diz respeito ao financeiro para não comprometer ou criar falsas expectativas no que diz respeito a perdão de débitos. "
;Maple Bear Araruama;Implantação;Implantação;Voucher de amostra;Voucher de amostra;Voucher de amostra;Voucher de amostra;;Voucher de amostra;6;SLMAMOSTRA2026ARARUAMA;SIM;Ana 22/10: Enviado para Jardson através do e-mail:SLM AMOSTRA - MB ARARUAMA/RJ
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
